date,name,ticker,open,high,low,close,volume
2022-01-28,KASE,KASE_INDEX,3507.4,3553.76,3491.54,3523.62,398.03
2022-01-31,KASE,KASE_INDEX,3523.62,3553.85,3495.21,3549.26,207.92
2022-02-01,KASE,KASE_INDEX,3549.26,3554.1,3491.89,3491.89,154.48
2022-02-02,KASE,KASE_INDEX,3491.89,3554.28,3488.92,3497.76,84.1
2022-02-03,KASE,KASE_INDEX,3497.76,3516.37,3487.33,3513.86,89.08
2022-02-04,KASE,KASE_INDEX,3513.86,3523.59,3491.82,3515.29,46.46
2022-02-07,KASE,KASE_INDEX,3518.03,3520.57,3468.82,3513.14,29.34
2022-02-08,KASE,KASE_INDEX,3514.05,3544.19,3489.74,3530.94,128.58
2022-02-09,KASE,KASE_INDEX,3530.94,3568.88,3520.92,3549.59,130.94
2022-02-10,KASE,KASE_INDEX,3550.04,3622.86,3550.04,3582.25,58.2
2022-02-11,KASE,KASE_INDEX,3582.25,3599.49,3547.85,3570.87,74.87
2022-02-14,KASE,KASE_INDEX,3569.97,3572.06,3527.92,3537.35,57.48
2022-02-15,KASE,KASE_INDEX,3537.24,3561.37,3518.22,3543.1,83.82
2022-02-16,KASE,KASE_INDEX,3539.99,3585.49,3539.26,3556.59,94.32
2022-02-17,KASE,KASE_INDEX,3554.71,3557.61,3527.75,3542.45,80.36
2022-02-18,KASE,KASE_INDEX,3543.03,3560.96,3525.94,3548.3,57.45
2022-02-21,KASE,KASE_INDEX,3548.3,3556.54,3490.96,3520.27,69.46
2022-02-22,KASE,KASE_INDEX,3515.4,3515.4,3408.05,3436.34,150.81
2022-02-23,KASE,KASE_INDEX,3436.34,3484.04,3421.4,3478.38,131.06
2022-02-24,KASE,KASE_INDEX,3478.38,3478.38,3287.77,3386.14,4182.5
2022-02-25,KASE,KASE_INDEX,3393.3,3455.77,3343.52,3453.42,304.9
2022-02-28,KASE,KASE_INDEX,3453.42,3453.42,3335.08,3361.98,161.85
2022-03-01,KASE,KASE_INDEX,3361.92,3428.98,3343.7,3390.31,115.73
2022-03-02,KASE,KASE_INDEX,3379.21,3379.21,3278.92,3291.56,144.53
2022-03-03,KASE,KASE_INDEX,3291.56,3297.16,3117.35,3202.65,228.69
2022-03-04,KASE,KASE_INDEX,3202.75,3214.91,3112.05,3171.73,204.86
2022-03-05,KASE,KASE_INDEX,3171.73,3202.66,3145.39,3202.66,88.14
2022-03-09,KASE,KASE_INDEX,2969.49,3346.4,2969.32,3334.96,106.59
2022-03-10,KASE,KASE_INDEX,3192.56,3428.38,3191.53,3393.02,140.89
2022-03-11,KASE,KASE_INDEX,3386.16,3412.71,3357.29,3377.47,55.38
2022-03-14,KASE,KASE_INDEX,3375.66,3378.55,3330.67,3357.37,101.23
2022-03-15,KASE,KASE_INDEX,3357.66,3381.02,3335.69,3358.4,177.71
2022-03-16,KASE,KASE_INDEX,3357.53,3363.19,3304.9,3336.7,274.97
2022-03-17,KASE,KASE_INDEX,3336.7,3361.16,3289.99,3346.83,218.96
2022-03-18,KASE,KASE_INDEX,3346.87,3378.64,3346.87,3372.76,2952.35
2022-03-24,KASE,KASE_INDEX,3355.81,3356.97,3323.1,3339.66,3231.86
2022-03-25,KASE,KASE_INDEX,3339.19,3362.8,3304.87,3317.86,1161.74
2022-03-28,KASE,KASE_INDEX,3317.87,3368.36,3309.87,3354.94,80.95
2022-03-29,KASE,KASE_INDEX,3355.11,3359.21,3317.32,3348.83,157.82
2022-03-30,KASE,KASE_INDEX,3348.83,3381.45,3321.46,3344.05,100.4
2022-03-31,KASE,KASE_INDEX,3340.69,3359.47,3331.28,3348.63,94.19
2022-04-01,KASE,KASE_INDEX,3343.89,3363.42,3328.32,3347.71,70.18
2022-04-04,KASE,KASE_INDEX,3347.71,3351.51,3314.32,3330.49,61.09
2022-04-05,KASE,KASE_INDEX,3328.27,3336.32,3304.12,3319.85,41.36
2022-04-06,KASE,KASE_INDEX,3319.1,3335.45,3242.78,3263.23,280.81
2022-04-07,KASE,KASE_INDEX,3244.4,3250.06,3195.66,3206.19,331.39
2022-04-08,KASE,KASE_INDEX,3206.8,3253.94,3185.67,3223.94,168.39
2022-04-11,KASE,KASE_INDEX,3251.59,3253.23,3177.77,3177.77,205.36
2022-04-12,KASE,KASE_INDEX,3181.38,3195.24,3147.37,3173.09,297.29
2022-04-13,KASE,KASE_INDEX,3173.09,3190.22,3134.68,3151.14,157.02
2022-04-14,KASE,KASE_INDEX,3157.42,3205.54,3156.28,3195.74,132.22
2022-04-15,KASE,KASE_INDEX,3195.74,3214.29,3167.05,3173.73,103.77
2022-04-18,KASE,KASE_INDEX,3166.96,3190.29,3119.69,3159.51,99.49
2022-04-19,KASE,KASE_INDEX,3160.27,3165.32,3126.22,3163.75,77.4
2022-04-20,KASE,KASE_INDEX,3163.75,3173.7,3149.97,3149.97,80.96
